sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,4,47,33
10,19,82,153
15,50,101,315
20,80,120,486
25,115,135,662
30,153,147,855
35,199,151,1044
40,237,163,1254
45,289,161,1427
50,338,162,1628
55,391,159,1823
60,434,166,2036
65,482,168,2231
70,530,170,2444
75,567,183,2623
80,617,184,2829
85,663,188,3033
90,720,181,3250
95,779,172,3439
100,832,169,3651
105,868,183,3844
110,916,185,4022
115,964,187,4223
120,1024,177,4429
125,1075,176,4618
130,1115,186,4814
135,1167,184,5001
140,1210,191,5196
