sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,51,36
10,17,84,156
15,51,100,310
20,81,119,475
25,125,125,654
30,166,134,828
35,203,147,1024
40,242,158,1250
45,290,160,1456
50,335,165,1668
55,379,171,1863
60,420,180,2063
65,467,183,2266
70,515,185,2469
75,563,187,2671
80,615,186,2871
85,665,186,3085
90,715,186,3285
95,769,182,3504
100,828,173,3704
105,868,183,3909
110,918,183,4131
115,971,180,4320
120,1021,180,4514
125,1069,182,4741
130,1117,184,4978
135,1169,182,5184
140,1216,185,5402
