sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,1,50,32
10,22,79,136
15,48,103,277
20,90,110,445
25,120,130,614
30,160,140,818
35,212,138,1024
40,261,139,1190
45,300,150,1362
50,345,155,1528
55,382,168,1726
60,435,165,1926
65,492,158,2122
70,554,146,2303
75,587,163,2485
80,628,173,2687
85,676,175,2901
90,735,166,3098
95,778,173,3307
100,834,167,3505
105,881,170,3707
110,930,171,3917
115,982,169,4105
120,1030,171,4271
125,1075,176,4443
130,1123,178,4634
135,1177,174,4839
140,1229,172,5054
