sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,1,4
15,3,5
20,3,7
25,5,8
30,7,8
35,9,9
40,14,6
45,16,7
50,17,8
55,19,9
60,21,9
65,23,10
70,24,11
75,26,12
80,28,12
85,30,13
90,32,13
95,36,12
100,40,10
105,43,10
110,48,7
115,52,6
120,53,7
125,57,6
130,61,4
135,64,4
140,65,5
