sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,1,4
15,3,5
20,3,7
25,5,8
30,8,7
35,12,6
40,12,8
45,16,7
50,16,9
55,19,9
60,24,6
65,27,6
70,29,6
75,29,9
80,30,10
85,33,10
90,34,11
95,37,11
100,38,12
105,39,14
110,39,16
115,42,16
120,42,18
125,42,21
130,46,19
135,48,20
140,49,21
