sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,0,5
15,4,4
20,6,4
25,8,5
30,10,5
35,12,6
40,14,6
45,17,6
50,19,6
55,20,8
60,20,10
65,21,12
70,23,12
75,26,12
80,26,14
85,27,16
90,30,15
95,37,11
100,42,8
105,43,10
110,45,10
115,47,11
120,48,12
125,50,13
130,55,10
135,57,11
140,59,11
