sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,0,5
15,2,6
20,3,7
25,5,8
30,5,10
35,5,13
40,7,13
45,9,14
50,13,12
55,14,14
60,17,13
65,17,16
70,17,18
75,20,18
80,21,19
85,25,18
90,29,16
95,30,18
100,34,16
105,37,16
110,39,16
115,41,17
120,44,16
125,47,16
130,49,16
135,49,19
140,50,20
