run_num,tasks_completed,work_in_process
1,51,20
2,47,24
3,42,29
4,52,19
5,54,17
6,45,26
7,51,20
8,51,20
9,62,9
10,47,24
11,52,19
12,51,20
13,53,18
14,46,25
15,62,9
16,42,29
17,52,19
18,39,32
19,55,16
20,59,12
21,57,14
22,50,21
23,48,23
24,56,15
25,50,21
26,43,28
27,50,21
28,40,31
29,45,26
30,60,11
31,56,15
32,55,16
33,58,13
34,39,32
35,61,10
36,58,13
37,52,19
38,53,18
39,51,20
40,57,14
