sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,0,5
15,3,5
20,4,6
25,5,8
30,5,10
35,6,12
40,8,12
45,10,13
50,12,13
55,16,12
60,17,13
65,18,15
70,20,15
75,20,18
80,22,18
85,22,21
90,23,22
95,24,24
100,25,25
105,28,25
110,29,26
115,32,26
120,33,27
125,36,27
130,37,28
135,38,30
140,40,30
