sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,0,5
15,0,8
20,0,10
25,1,12
30,4,11
35,5,13
40,9,11
45,10,13
50,11,14
55,13,15
60,15,15
65,16,17
70,18,17
75,21,17
80,22,18
85,27,16
90,29,16
95,32,16
100,34,16
105,39,14
110,40,15
115,40,18
120,41,19
125,41,22
130,45,20
135,47,21
140,48,22
