completion_time,task_id,start_time,process_time,num_operations
4,0,0,4,3
15,1,2,13,3
17,2,4,13,3
18,3,6,12,3
19,4,8,11,3
21,6,12,9,3
21,8,16,5,3
22,5,10,12,3
24,9,18,6,3
28,7,14,14,3
29,11,22,7,3
32,13,26,6,3
36,14,28,8,3
37,15,30,7,3
43,17,34,9,3
43,12,24,19,3
47,20,40,7,3
50,23,46,4,3
51,19,38,13,3
52,18,36,16,3
53,22,44,9,3
55,10,20,35,3
55,21,42,13,3
56,16,32,24,3
57,25,50,7,3
58,26,52,6,3
59,27,54,5,3
60,24,48,12,3
61,28,56,5,3
69,32,64,5,3
69,29,58,11,3
73,31,62,11,3
79,34,68,11,3
80,35,70,10,3
82,36,72,10,3
86,39,78,8,3
86,30,60,26,3
87,40,80,7,3
89,38,76,13,3
90,42,84,6,3
92,41,82,10,3
92,43,86,6,3
93,33,66,27,3
94,45,90,4,3
94,44,88,6,3
100,48,96,4,3
100,37,74,26,3
101,46,92,9,3
103,47,94,9,3
104,49,98,6,3
106,50,100,6,3
108,52,104,4,3
109,51,102,7,3
112,53,106,6,3
115,55,110,5,3
123,57,114,9,3
125,54,108,17,3
126,59,118,8,3
127,58,116,11,3
129,60,120,9,3
130,61,122,8,3
132,62,124,8,3
137,64,128,9,3
137,66,132,5,3
138,65,130,8,3
