completion_time,task_id,start_time,process_time,num_operations
4,0,0,4,3
6,1,2,4,3
10,2,4,6,3
10,3,6,4,3
20,5,10,10,3
25,4,8,17,3
27,7,14,13,3
27,11,22,5,3
31,10,20,11,3
33,6,12,21,3
36,12,24,12,3
36,8,16,20,3
37,9,18,19,3
45,17,34,11,3
47,16,32,15,3
48,13,26,22,3
49,18,36,13,3
54,15,30,24,3
57,20,40,17,3
59,19,38,21,3
60,14,28,32,3
67,22,44,23,3
67,26,52,15,3
69,21,42,27,3
70,23,46,24,3
70,27,54,16,3
71,28,56,15,3
71,25,50,21,3
73,24,48,25,3
77,30,60,17,3
85,34,68,17,3
86,36,72,14,3
88,32,64,24,3
89,29,58,31,3
92,31,62,30,3
95,35,70,25,3
95,37,74,21,3
100,38,76,24,3
108,33,66,42,3
108,45,90,18,3
112,46,92,20,3
113,44,88,25,3
114,43,86,28,3
116,47,94,22,3
116,41,82,34,3
116,54,108,8,3
118,56,112,6,3
119,48,96,23,3
120,39,78,42,3
120,40,80,40,3
121,51,102,19,3
123,49,98,25,3
131,59,118,13,3
135,50,100,35,3
137,53,106,31,3
137,58,116,21,3
140,55,110,30,3
