completion_time,task_id,start_time,process_time,num_operations
12,0,0,12,3
16,1,2,14,3
17,5,10,7,3
17,4,8,9,3
18,6,12,6,3
19,2,4,15,3
22,8,16,6,3
22,3,6,16,3
24,10,20,4,3
27,7,14,13,3
28,9,18,10,3
34,14,28,6,3
42,13,26,16,3
45,15,30,15,3
45,12,24,21,3
48,18,36,12,3
53,20,40,13,3
53,11,22,31,3
59,22,44,15,3
60,21,42,18,3
60,17,34,26,3
71,26,52,19,3
72,27,54,18,3
72,16,32,40,3
72,30,60,12,3
74,19,38,36,3
76,32,64,12,3
76,29,58,18,3
78,24,48,30,3
78,25,50,28,3
82,23,46,36,3
89,35,70,19,3
90,34,68,22,3
92,38,76,16,3
93,28,56,37,3
93,41,82,11,3
95,37,74,21,3
95,31,62,33,3
96,40,80,16,3
97,44,88,9,3
98,33,66,32,3
99,43,86,13,3
102,45,90,12,3
102,46,92,10,3
103,36,72,31,3
105,39,78,27,3
107,47,94,13,3
109,50,100,9,3
109,42,84,25,3
116,48,96,20,3
117,49,98,19,3
122,53,106,16,3
124,54,108,16,3
128,52,104,24,3
129,61,122,7,3
134,57,114,20,3
135,65,130,5,3
136,59,118,18,3
136,58,116,20,3
137,60,120,17,3
140,56,112,28,3
