sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,0,5
15,1,7
20,5,5
25,7,6
30,8,7
35,8,10
40,10,10
45,11,12
50,11,14
55,13,15
60,19,11
65,19,14
70,20,15
75,23,15
80,23,17
85,27,16
90,30,15
95,33,15
100,35,15
105,37,16
110,41,14
115,42,16
120,43,17
125,46,17
130,47,18
135,48,20
140,53,17
