completion_time,task_id,start_time,process_time,num_operations
7,1,2,5,3
8,0,0,8,3
18,4,8,10,3
20,2,4,16,3
24,6,12,12,3
24,3,6,18,3
29,10,20,9,3
30,9,18,12,3
36,8,16,20,3
37,5,10,27,3
38,13,26,12,3
40,14,28,12,3
42,12,24,18,3
43,16,32,11,3
44,7,14,30,3
45,17,34,11,3
50,18,36,14,3
54,21,42,12,3
54,20,40,14,3
58,19,38,20,3
59,22,44,15,3
62,24,48,14,3
64,23,46,18,3
67,26,52,15,3
69,11,22,47,3
70,27,54,16,3
71,28,56,15,3
80,32,64,16,3
83,34,68,15,3
86,33,66,20,3
87,31,62,25,3
88,36,72,16,3
90,39,78,12,3
91,35,70,21,3
93,25,50,43,3
93,42,84,9,3
96,30,60,36,3
98,41,82,16,3
99,43,86,13,3
103,29,58,45,3
105,38,76,29,3
105,37,74,31,3
107,50,100,7,3
109,15,30,79,3
112,45,90,22,3
112,54,108,4,3
114,46,92,22,3
114,48,96,18,3
118,47,94,24,3
120,40,80,40,3
121,44,88,33,3
126,53,106,20,3
128,58,116,12,3
130,52,104,26,3
130,56,112,18,3
133,59,118,15,3
136,60,120,16,3
136,57,114,22,3
138,55,110,28,3
139,61,122,17,3
