completion_time,task_id,start_time,process_time,num_operations
5,0,0,5,3
15,2,4,11,3
16,3,6,10,3
24,6,12,12,3
24,1,2,22,3
29,4,8,21,3
31,12,24,7,3
32,7,14,18,3
33,8,16,17,3
35,13,26,9,3
36,16,32,4,3
40,15,30,10,3
43,11,22,21,3
43,14,28,15,3
47,9,18,29,3
50,5,10,40,3
51,20,40,11,3
55,21,42,13,3
56,17,34,22,3
58,19,38,20,3
59,24,48,11,3
65,23,46,19,3
66,22,44,22,3
68,27,54,14,3
70,28,56,14,3
71,26,52,19,3
72,32,64,8,3
75,10,20,55,3
76,31,62,14,3
78,18,36,42,3
82,25,50,32,3
82,29,58,24,3
83,30,60,23,3
85,35,70,15,3
87,40,80,7,3
88,37,74,14,3
91,41,82,9,3
93,38,76,17,3
95,34,68,27,3
96,33,66,30,3
98,44,88,10,3
99,36,72,27,3
100,42,84,16,3
102,47,94,8,3
102,39,78,24,3
105,46,92,13,3
109,45,90,19,3
111,43,86,25,3
116,52,104,12,3
117,48,96,21,3
121,50,100,21,3
125,51,102,23,3
126,55,110,16,3
127,49,98,29,3
132,54,108,24,3
134,58,116,18,3
134,56,112,22,3
139,63,126,13,3
139,66,132,7,3
140,61,122,18,3
