sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,0,5
15,3,5
20,6,4
25,8,5
30,9,6
35,14,4
40,17,3
45,17,6
50,19,6
55,22,6
60,25,5
65,26,7
70,30,5
75,30,8
80,30,10
85,35,8
90,37,8
95,39,9
100,42,8
105,44,9
110,45,10
115,49,9
120,54,6
125,57,6
130,57,8
135,57,11
140,62,8
