completion_time,task_id,start_time,process_time,num_operations
8,0,0,8,3
10,3,6,4,3
14,1,2,12,3
14,2,4,10,3
18,4,8,10,3
21,6,12,9,3
26,8,16,10,3
27,5,10,17,3
30,9,18,12,3
33,11,22,11,3
36,7,14,22,3
36,13,26,10,3
37,12,24,13,3
38,14,28,10,3
41,16,32,9,3
41,10,20,21,3
48,18,36,12,3
54,17,34,20,3
55,21,42,13,3
58,19,38,20,3
63,25,50,13,3
68,27,54,14,3
68,22,44,24,3
69,15,30,39,3
70,28,56,14,3
73,20,40,33,3
73,31,62,11,3
74,29,58,16,3
74,23,46,28,3
75,26,52,23,3
77,30,60,17,3
84,36,72,12,3
85,32,64,21,3
87,38,76,11,3
91,37,74,17,3
92,39,78,14,3
93,34,68,25,3
96,35,70,26,3
96,40,80,16,3
96,33,66,30,3
99,24,48,51,3
101,45,90,11,3
103,43,86,17,3
103,42,84,19,3
104,47,94,10,3
106,44,88,18,3
110,49,98,12,3
115,51,102,13,3
116,46,92,24,3
119,50,100,19,3
119,48,96,23,3
120,57,114,6,3
123,41,82,41,3
125,59,118,7,3
127,60,120,7,3
127,54,108,19,3
129,55,110,19,3
131,53,106,25,3
134,61,122,12,3
135,56,112,23,3
136,63,126,10,3
136,52,104,32,3
140,58,116,24,3
