completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
13,2,4,9,3
16,1,2,14,3
19,3,6,13,3
22,4,8,14,3
22,7,14,8,3
35,11,22,13,3
43,16,32,11,3
44,9,18,26,3
45,14,28,17,3
47,15,30,17,3
49,8,16,33,3
50,10,20,30,3
51,5,10,41,3
54,6,12,42,3
54,20,40,14,3
55,19,38,17,3
56,12,24,32,3
59,17,34,25,3
60,18,36,24,3
60,21,42,18,3
60,24,48,12,3
61,13,26,35,3
63,23,46,17,3
64,30,60,4,3
67,27,54,13,3
68,22,44,24,3
70,26,52,18,3
72,25,50,22,3
72,33,66,6,3
73,28,56,17,3
79,32,64,15,3
85,34,68,17,3
91,43,86,5,3
92,29,58,34,3
93,38,76,17,3
97,39,78,19,3
98,44,88,10,3
102,41,82,20,3
102,36,72,30,3
102,40,80,22,3
103,31,62,41,3
108,37,74,34,3
109,46,92,17,3
111,35,70,41,3
113,53,106,7,3
115,42,84,31,3
115,45,90,25,3
123,49,98,25,3
125,47,94,31,3
131,52,104,27,3
133,50,100,33,3
134,51,102,32,3
135,48,96,39,3
136,59,118,18,3
138,56,112,26,3
139,54,108,31,3
140,63,126,14,3
