completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
9,1,2,7,3
12,3,6,6,3
14,4,8,6,3
19,6,12,7,3
20,5,10,10,3
26,2,4,22,3
29,8,16,13,3
30,9,18,12,3
30,11,22,8,3
31,10,20,11,3
34,12,24,10,3
35,7,14,21,3
40,13,26,14,3
43,15,30,13,3
46,19,38,8,3
49,20,40,9,3
52,17,34,18,3
54,23,46,8,3
57,16,32,25,3
60,14,28,32,3
61,21,42,19,3
61,18,36,25,3
62,22,44,18,3
66,26,52,14,3
71,27,54,17,3
72,28,56,16,3
75,34,68,7,3
77,32,64,13,3
80,33,66,14,3
86,30,60,26,3
87,29,58,29,3
88,24,48,40,3
91,31,62,29,3
92,36,72,20,3
93,35,70,23,3
95,41,82,13,3
96,38,76,20,3
97,39,78,19,3
98,43,86,12,3
101,44,88,13,3
104,25,50,54,3
104,42,84,20,3
106,49,98,8,3
107,47,94,13,3
109,40,80,29,3
111,45,90,21,3
112,48,96,16,3
113,50,100,13,3
113,46,92,21,3
115,52,104,11,3
116,51,102,14,3
117,37,74,43,3
123,58,116,7,3
127,54,108,19,3
130,53,106,24,3
132,55,110,22,3
133,57,114,19,3
134,61,122,12,3
139,62,124,15,3
