sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,1,4
15,1,7
20,3,7
25,5,8
30,6,9
35,9,9
40,11,9
45,14,9
50,15,10
55,17,11
60,21,9
65,21,12
70,24,11
75,27,11
80,30,10
85,33,10
90,36,9
95,38,10
100,42,8
105,45,8
110,47,8
115,48,10
120,50,10
125,51,12
130,54,11
135,57,11
140,59,11
