completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
12,2,4,8,3
12,1,2,10,3
19,5,10,9,3
21,3,6,15,3
23,4,8,15,3
32,11,22,10,3
33,12,24,9,3
34,7,14,20,3
35,13,26,9,3
36,9,18,18,3
40,8,16,24,3
43,17,34,9,3
52,18,36,16,3
53,14,28,25,3
59,19,38,21,3
61,21,42,19,3
63,15,30,33,3
64,26,52,12,3
65,10,20,45,3
65,20,40,25,3
67,16,32,35,3
70,25,50,20,3
70,6,12,58,3
73,22,44,29,3
75,24,48,27,3
78,28,56,22,3
80,23,46,34,3
84,30,60,24,3
84,34,68,16,3
87,27,54,33,3
89,29,58,31,3
90,32,64,26,3
92,33,66,26,3
93,31,62,31,3
94,36,72,22,3
94,39,78,16,3
96,41,82,14,3
102,37,74,28,3
103,35,70,33,3
104,44,88,16,3
107,46,92,15,3
111,45,90,21,3
111,47,94,17,3
114,48,96,18,3
116,42,84,32,3
121,50,100,21,3
122,51,102,20,3
129,58,116,13,3
131,38,76,55,3
132,40,80,52,3
133,49,98,35,3
135,56,112,23,3
139,43,86,53,3
139,52,104,35,3
140,63,126,14,3
