completion_time,task_id,start_time,process_time,num_operations
9,1,2,7,3
12,0,0,12,3
14,3,6,8,3
19,7,14,5,3
22,5,10,12,3
22,6,12,10,3
22,2,4,18,3
23,4,8,15,3
25,8,16,9,3
33,12,24,9,3
35,10,20,15,3
36,9,18,18,3
37,15,30,7,3
37,13,26,11,3
37,11,22,15,3
39,14,28,11,3
44,19,38,6,3
50,17,34,16,3
53,21,42,11,3
57,20,40,17,3
58,23,46,12,3
59,24,48,11,3
61,16,32,29,3
62,18,36,26,3
71,28,56,15,3
72,27,54,18,3
74,26,52,22,3
79,25,50,29,3
79,32,64,15,3
80,22,44,36,3
81,33,66,15,3
81,35,70,11,3
83,29,58,25,3
84,31,62,22,3
88,30,60,28,3
89,38,76,13,3
91,39,78,13,3
95,34,68,27,3
96,40,80,16,3
99,41,82,17,3
100,43,86,14,3
100,42,84,16,3
104,49,98,6,3
104,44,88,16,3
105,46,92,13,3
106,45,90,16,3
112,48,96,16,3
116,37,74,42,3
120,55,110,10,3
120,36,72,48,3
122,50,100,22,3
123,51,102,21,3
125,58,116,9,3
129,61,122,7,3
132,57,114,18,3
133,54,108,25,3
134,52,104,30,3
139,47,94,45,3
140,60,120,20,3
