sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,3,4
10,0,5,11
15,2,6,21
20,3,7,36
25,4,9,47
30,7,8,62
35,7,11,76
40,9,11,94
45,10,13,110
50,12,13,122
55,18,10,134
60,19,11,148
65,20,13,164
70,21,14,177
75,23,15,192
80,26,14,199
85,27,16,205
90,30,15,216
95,34,14,229
100,36,14,242
105,37,16,253
110,39,16,269
115,41,17,284
120,41,19,296
125,41,22,312
130,42,23,328
135,42,26,344
140,42,28,360
