completion_time,task_id,start_time,process_time,num_operations
6,1,2,4,3
8,0,0,8,3
10,3,6,4,3
13,4,8,5,3
13,2,4,9,3
16,6,12,4,3
20,5,10,10,3
21,7,14,7,3
23,9,18,5,3
26,11,22,4,3
27,8,16,11,3
33,10,20,13,3
36,13,26,10,3
37,14,28,9,3
37,15,30,7,3
38,16,32,6,3
38,12,24,14,3
40,18,36,4,3
40,17,34,6,3
45,20,40,5,3
46,19,38,8,3
48,21,42,6,3
53,22,44,9,3
53,24,48,5,3
59,25,50,9,3
60,28,56,4,3
60,26,52,8,3
61,23,46,15,3
62,27,54,8,3
65,30,60,5,3
67,29,58,9,3
69,31,62,7,3
72,34,68,4,3
73,32,64,9,3
73,33,66,7,3
77,35,70,7,3
82,36,72,10,3
83,39,78,5,3
85,38,76,9,3
87,37,74,13,3
88,41,82,6,3
92,42,84,8,3
93,43,86,7,3
93,44,88,5,3
94,40,80,14,3
98,45,90,8,3
101,46,92,9,3
105,50,100,5,3
105,49,98,7,3
107,48,96,11,3
110,52,104,6,3
110,53,106,4,3
111,51,102,9,3
117,47,94,23,3
118,55,110,8,3
119,56,112,7,3
123,59,118,5,3
124,54,108,16,3
124,57,114,10,3
127,58,116,11,3
128,61,122,6,3
129,60,120,9,3
132,62,124,8,3
135,63,126,9,3
138,66,132,6,3
140,64,128,12,3
