run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,64,7,192,391
2,63,8,189,406
3,66,5,198,414
4,64,7,192,497
5,66,5,198,422
6,64,7,192,416
7,66,5,198,298
8,64,7,192,452
9,64,7,192,374
10,62,9,186,409
11,66,5,198,328
12,68,3,204,320
13,63,8,189,392
14,66,5,198,282
15,60,11,180,457
16,67,4,201,337
17,61,10,183,442
18,64,7,192,314
19,65,6,195,424
20,61,10,183,457
21,66,5,198,273
22,64,7,192,364
23,63,8,189,418
24,65,6,195,374
25,61,10,183,412
26,65,6,195,500
27,65,6,195,349
28,64,7,192,408
29,66,5,198,371
30,62,9,186,386
31,62,9,186,367
32,65,6,195,387
33,66,5,198,263
34,62,9,186,403
35,68,3,204,351
36,63,8,189,453
37,68,3,204,289
38,64,7,192,294
39,67,4,201,349
40,60,11,180,600
