completion_time,task_id,start_time,process_time,num_operations
8,1,2,6,3
11,2,4,7,3
12,0,0,12,3
14,3,6,8,3
17,5,10,7,3
23,10,20,3,3
23,7,14,9,3
24,8,16,8,3
25,6,12,13,3
27,9,18,9,3
28,4,8,20,3
32,12,24,8,3
36,15,30,6,3
37,14,28,9,3
38,11,22,16,3
44,16,32,12,3
45,19,38,7,3
48,17,34,14,3
54,22,44,10,3
55,25,50,5,3
56,21,42,14,3
57,20,40,17,3
58,26,52,6,3
59,18,36,23,3
61,27,54,7,3
63,29,58,5,3
67,24,48,19,3
73,30,60,13,3
73,31,62,11,3
73,23,46,27,3
77,33,66,11,3
80,35,70,10,3
80,28,56,24,3
81,34,68,13,3
84,32,64,20,3
89,36,72,17,3
89,13,26,63,3
90,40,80,10,3
92,38,76,16,3
93,42,84,9,3
94,41,82,12,3
95,39,78,17,3
97,46,92,5,3
98,37,74,24,3
100,43,86,14,3
108,48,96,12,3
113,49,98,15,3
115,54,108,7,3
117,45,90,27,3
118,44,88,30,3
120,53,106,14,3
124,59,118,6,3
126,52,104,22,3
129,47,94,35,3
133,60,120,13,3
140,55,110,30,3
