completion_time,task_id,start_time,process_time,num_operations
5,0,0,5,3
13,3,6,7,3
15,4,8,7,3
15,2,4,11,3
23,1,2,21,3
26,9,18,8,3
27,6,12,15,3
36,10,20,16,3
41,15,30,11,3
41,14,28,13,3
43,12,24,19,3
46,8,16,30,3
46,21,42,4,3
50,13,26,24,3
51,11,22,29,3
56,17,34,22,3
58,19,38,20,3
60,18,36,24,3
64,24,48,16,3
67,29,58,9,3
69,5,10,59,3
70,25,50,20,3
75,22,44,31,3
75,7,14,61,3
76,20,40,36,3
79,23,46,33,3
84,27,54,30,3
84,35,70,14,3
91,32,64,27,3
92,31,62,30,3
94,36,72,22,3
94,39,78,16,3
95,26,52,43,3
99,38,76,23,3
99,30,60,39,3
105,37,74,31,3
107,40,80,27,3
109,41,82,27,3
111,34,68,43,3
118,45,90,28,3
120,33,66,54,3
121,28,56,65,3
122,44,88,34,3
127,46,92,35,3
127,16,32,95,3
130,48,96,34,3
131,58,116,15,3
134,51,102,32,3
135,50,100,35,3
136,43,86,50,3
138,47,94,44,3
138,60,120,18,3
138,53,106,32,3
140,54,108,32,3
