sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,1,4
15,3,5
20,3,7
25,4,9
30,7,8
35,8,10
40,12,8
45,14,9
50,17,8
55,19,9
60,22,8
65,25,8
70,28,7
75,29,9
80,31,9
85,32,11
90,34,11
95,35,13
100,37,13
105,40,13
110,44,11
115,45,13
120,47,13
125,48,15
130,50,15
135,56,12
140,58,12
