sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,1,4
15,2,6
20,2,8
25,4,9
30,6,9
35,8,10
40,12,8
45,15,8
50,19,6
55,20,8
60,21,9
65,21,12
70,24,11
75,25,13
80,25,15
85,28,15
90,31,14
95,31,17
100,32,18
105,33,20
110,37,18
115,41,17
120,43,17
125,44,19
130,49,16
135,50,18
140,51,19
