completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
9,1,2,7,3
12,4,8,4,3
14,3,6,8,3
17,6,12,5,3
18,2,4,14,3
27,7,14,13,3
37,10,20,17,3
37,9,18,19,3
38,5,10,28,3
39,13,26,13,3
40,12,24,16,3
44,17,34,10,3
47,18,36,11,3
51,11,22,29,3
52,21,42,10,3
54,8,16,38,3
62,20,40,22,3
63,25,50,13,3
63,14,28,35,3
64,16,32,32,3
70,27,54,16,3
74,28,56,18,3
75,23,46,29,3
76,26,52,24,3
81,29,58,23,3
82,22,44,38,3
83,15,30,53,3
93,32,64,29,3
93,19,38,55,3
97,47,94,3,3
98,40,80,18,3
99,33,66,33,3
102,43,86,16,3
103,41,82,21,3
103,42,84,19,3
109,34,68,41,3
112,24,48,64,3
114,52,104,10,3
117,38,76,41,3
119,49,98,21,3
119,35,70,49,3
123,50,100,23,3
124,37,74,50,3
125,30,60,65,3
132,53,106,26,3
133,44,88,45,3
135,48,96,39,3
