completion_time,task_id,start_time,process_time,num_operations
4,0,0,4,3
9,1,2,7,3
10,3,6,4,3
16,4,8,8,3
18,5,10,8,3
21,6,12,9,3
22,2,4,18,3
29,11,22,7,3
35,13,26,9,3
36,14,28,8,3
38,10,20,18,3
38,12,24,14,3
40,15,30,10,3
42,8,16,26,3
43,16,32,11,3
43,9,18,25,3
45,17,34,11,3
46,19,38,8,3
49,20,40,9,3
49,18,36,13,3
52,22,44,8,3
52,23,46,6,3
57,26,52,5,3
58,7,14,44,3
60,27,54,6,3
60,25,50,10,3
64,29,58,6,3
65,28,56,9,3
71,21,42,29,3
71,24,48,23,3
75,31,62,13,3
76,33,66,10,3
78,32,64,14,3
85,39,78,7,3
93,44,88,5,3
94,34,68,26,3
96,37,74,22,3
96,38,76,20,3
101,41,82,19,3
102,47,94,8,3
107,30,60,47,3
108,36,72,36,3
109,48,96,13,3
110,49,98,12,3
111,42,84,27,3
115,40,80,35,3
119,51,102,17,3
122,53,106,16,3
124,43,86,38,3
125,55,110,15,3
129,58,116,13,3
130,61,122,8,3
130,46,92,38,3
131,56,112,19,3
133,54,108,25,3
138,64,128,10,3
139,52,104,35,3
