sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,1,4
15,2,6
20,2,8
25,4,9
30,5,10
35,7,11
40,9,11
45,11,12
50,12,13
55,14,14
60,18,12
65,21,12
70,24,11
75,25,13
80,27,13
85,28,15
90,28,17
95,28,20
100,30,20
105,32,21
110,33,22
115,35,23
120,38,22
125,39,24
130,40,25
135,43,25
140,45,25
