sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,0,5
15,0,8
20,2,8
25,4,9
30,5,10
35,6,12
40,7,13
45,8,15
50,11,14
55,12,16
60,14,16
65,18,15
70,19,16
75,22,16
80,22,18
85,23,20
90,26,19
95,27,21
100,28,22
105,30,23
110,30,25
115,32,26
120,32,28
125,37,26
130,40,25
135,43,25
140,45,25
