completion_time,task_id,start_time,process_time,num_operations
9,0,0,9,3
10,1,2,8,3
12,3,6,6,3
17,2,4,13,3
19,4,8,11,3
20,5,10,10,3
24,8,16,8,3
27,9,18,9,3
33,11,22,11,3
35,6,12,23,3
36,16,32,4,3
38,7,14,24,3
42,14,28,14,3
45,13,26,19,3
47,18,36,11,3
48,19,38,10,3
51,23,46,5,3
52,21,42,10,3
53,17,34,19,3
56,22,44,12,3
57,25,50,7,3
61,20,40,21,3
63,29,58,5,3
64,12,24,40,3
65,10,20,45,3
66,24,48,18,3
68,15,30,38,3
70,27,54,16,3
75,34,68,7,3
78,35,70,8,3
81,33,66,15,3
83,32,64,19,3
90,28,56,34,3
91,26,52,39,3
93,36,72,21,3
93,31,62,31,3
96,44,88,8,3
103,40,80,23,3
108,48,96,12,3
110,47,94,16,3
115,50,100,15,3
123,30,60,63,3
132,46,92,40,3
139,41,82,57,3
