completion_time,task_id,start_time,process_time,num_operations
4,0,0,4,3
8,1,2,6,3
9,3,6,3,3
16,4,8,8,3
17,5,10,7,3
18,2,4,14,3
27,6,12,15,3
29,10,20,9,3
30,7,14,16,3
32,9,18,14,3
36,8,16,20,3
38,13,26,12,3
39,11,22,17,3
41,15,30,11,3
44,16,32,12,3
44,14,28,16,3
49,18,36,13,3
53,17,34,19,3
60,12,24,36,3
62,22,44,18,3
62,20,40,22,3
67,23,46,21,3
71,21,42,29,3
73,24,48,25,3
74,30,60,14,3
76,27,54,22,3
81,28,56,25,3
83,25,50,33,3
87,26,52,35,3
88,32,64,24,3
92,36,72,20,3
92,44,88,4,3
93,31,62,31,3
93,33,66,27,3
97,39,78,19,3
98,34,68,30,3
99,37,74,25,3
100,35,70,30,3
101,19,38,63,3
104,29,58,46,3
110,41,82,28,3
112,43,86,26,3
120,46,92,28,3
125,38,76,49,3
126,50,100,26,3
129,49,98,31,3
129,42,84,45,3
130,40,80,50,3
131,51,102,29,3
134,48,96,38,3
134,47,94,40,3
135,45,90,45,3
137,58,116,21,3
