sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,1,4
15,2,6
20,4,6
25,7,6
30,8,7
35,9,9
40,12,8
45,13,10
50,14,11
55,18,10
60,20,10
65,22,11
70,23,12
75,23,15
80,25,15
85,26,17
90,27,18
95,29,19
100,31,19
105,33,20
110,34,21
115,39,19
120,39,21
125,41,22
130,41,24
135,41,27
140,42,28
