run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,67,215,201,739
2,77,205,231,725
3,78,204,234,750
4,82,200,246,696
5,86,196,258,680
6,74,208,222,772
7,90,192,270,699
8,72,210,216,736
9,85,197,255,705
10,76,206,228,736
11,87,195,261,678
12,95,187,285,706
13,101,181,303,681
14,90,192,270,709
15,74,208,222,745
16,71,211,213,728
17,62,220,186,772
18,84,198,252,720
19,99,183,297,700
20,58,224,174,734
21,70,212,210,744
22,85,197,255,669
23,87,195,261,731
24,75,207,225,710
25,85,197,255,679
26,96,186,288,682
27,71,211,213,746
28,86,196,258,715
29,85,197,255,700
30,79,203,237,707
31,90,192,270,710
32,92,190,276,698
33,66,216,198,802
34,100,182,300,647
35,68,214,204,755
36,54,228,162,799
37,94,188,282,697
38,56,226,168,795
39,86,196,258,714
40,85,197,255,693
