sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,2,3
15,3,5
20,5,5
25,7,6
30,9,6
35,11,7
40,13,7
45,15,8
50,18,7
55,19,9
60,22,8
65,26,7
70,28,7
75,32,6
80,34,6
85,38,5
90,39,6
95,42,6
100,46,4
105,47,6
110,48,7
115,51,7
120,53,7
125,54,9
130,56,9
135,57,11
140,59,11
