sample_time,tasks_completed,work_in_process
0,0,1
5,0,3
10,1,4
15,2,6
20,4,6
25,5,8
30,8,7
35,10,8
40,11,9
45,15,8
50,17,8
55,19,9
60,25,5
65,27,6
70,28,7
75,31,7
80,34,6
85,36,7
90,39,6
95,41,7
100,42,8
105,43,10
110,46,9
115,47,11
120,48,12
125,50,13
130,50,15
135,52,16
140,54,16
