completion_time,task_id,start_time,process_time,num_operations
9,3,3,6,3
12,4,4,8,3
20,15,15,5,3
21,1,1,20,3
22,8,8,14,3
23,18,18,5,3
24,9,9,15,3
25,11,11,14,3
25,12,12,13,3
26,0,0,26,3
27,6,6,21,3
27,5,5,22,3
30,14,14,16,3
33,2,2,31,3
35,7,7,28,3
36,22,22,14,3
37,17,17,20,3
37,23,23,14,3
41,25,25,16,3
42,26,26,16,3
43,13,13,30,3
44,32,32,12,3
45,21,21,24,3
45,19,19,26,3
49,20,20,29,3
50,37,37,13,3
50,29,29,21,3
51,27,27,24,3
51,16,16,35,3
52,30,30,22,3
54,47,47,7,3
55,31,31,24,3
55,36,36,19,3
60,42,42,18,3
61,33,33,28,3
61,46,46,15,3
62,45,45,17,3
64,34,34,30,3
64,53,53,11,3
65,10,10,55,3
67,24,24,43,3
70,51,51,19,3
71,43,43,28,3
73,49,49,24,3
73,35,35,38,3
73,40,40,33,3
73,50,50,23,3
76,38,38,38,3
81,63,63,18,3
82,56,56,26,3
83,57,57,26,3
86,55,55,31,3
88,54,54,34,3
89,64,64,25,3
90,69,69,21,3
91,41,41,50,3
92,59,59,33,3
92,79,79,13,3
93,44,44,49,3
94,76,76,18,3
96,77,77,19,3
97,82,82,15,3
99,72,72,27,3
99,73,73,26,3
101,78,78,23,3
102,67,67,35,3
105,88,88,17,3
106,74,74,32,3
106,84,84,22,3
107,68,68,39,3
110,52,52,58,3
111,71,71,40,3
112,62,62,50,3
112,75,75,37,3
113,39,39,74,3
113,94,94,19,3
117,48,48,69,3
122,86,86,36,3
124,65,65,59,3
125,93,93,32,3
125,89,89,36,3
125,83,83,42,3
126,96,96,30,3
127,113,113,14,3
130,66,66,64,3
131,102,102,29,3
131,103,103,28,3
131,108,108,23,3
132,87,87,45,3
132,58,58,74,3
132,60,60,72,3
134,101,101,33,3
135,85,85,50,3
137,118,118,19,3
138,119,119,19,3
