sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,5,3
10,2,8,11
15,6,9,24
20,8,12,38
25,11,14,58
30,13,17,80
35,17,18,97
40,20,20,122
45,20,25,151
50,23,27,180
55,29,26,208
60,33,27,239
65,39,26,267
70,43,27,301
75,50,25,316
80,56,24,340
85,60,25,361
90,65,25,381
95,71,24,402
100,75,25,422
105,79,26,447
110,83,27,472
115,89,26,492
120,92,28,521
125,94,31,548
130,99,31,569
135,101,34,593
140,104,36,621
