sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,1,50,29
10,8,93,133
15,22,129,242
20,41,159,359
25,59,191,487
30,86,214,616
35,110,240,756
40,142,258,875
45,169,281,996
50,189,311,1136
55,222,328,1272
60,242,358,1394
65,266,384,1526
70,287,413,1675
75,314,436,1799
80,340,461,1927
85,362,489,2059
90,383,518,2188
95,408,543,2324
100,435,566,2457
105,460,591,2584
110,477,624,2715
115,501,650,2856
120,522,679,3003
125,548,703,3132
130,580,721,3269
135,602,749,3401
140,625,776,3556
