sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,3,48,27
10,12,89,121
15,27,124,222
20,45,155,350
25,62,188,464
30,79,221,595
35,97,253,729
40,119,281,863
45,149,301,995
50,171,329,1136
55,185,365,1285
60,214,386,1420
65,238,412,1545
70,257,443,1674
75,280,470,1827
80,306,495,1964
85,330,521,2102
90,358,543,2230
95,383,568,2355
100,410,591,2484
105,430,621,2628
110,454,647,2767
115,475,676,2900
120,500,701,3040
125,523,728,3179
130,547,754,3326
135,576,775,3467
140,589,812,3618
