sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,1,50,29
10,14,87,109
15,30,121,215
20,52,148,330
25,75,175,440
30,92,208,554
35,106,244,671
40,133,267,800
45,159,291,937
50,180,320,1066
55,207,343,1195
60,238,362,1320
65,251,399,1460
70,267,433,1604
75,300,450,1744
80,323,478,1887
85,347,504,2022
90,374,527,2156
95,394,557,2284
100,429,572,2413
105,454,597,2546
110,472,629,2685
115,491,660,2832
120,509,692,2982
125,528,723,3136
130,545,756,3287
135,569,782,3429
140,597,804,3568
