sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,51,34
10,10,91,121
15,26,125,232
20,40,160,349
25,56,194,466
30,78,222,593
35,99,251,723
40,120,280,860
45,141,309,993
50,171,329,1116
55,195,355,1237
60,216,384,1368
65,232,418,1514
70,252,448,1649
75,273,477,1781
80,302,499,1915
85,327,524,2051
90,348,553,2185
95,366,585,2332
100,384,617,2475
105,401,650,2612
110,427,674,2738
115,448,703,2880
120,464,737,3024
125,486,765,3174
130,517,784,3294
135,542,809,3436
140,565,836,3574
