sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,1,50,32
10,9,92,116
15,25,126,229
20,42,158,349
25,60,190,474
30,85,215,599
35,107,243,733
40,124,276,866
45,144,306,1008
50,162,338,1149
55,187,363,1279
60,205,395,1426
65,226,424,1558
70,250,450,1694
75,273,477,1835
80,297,504,1984
85,312,539,2140
90,334,567,2296
95,361,590,2436
100,392,609,2574
105,414,637,2713
110,436,665,2852
115,462,689,2994
120,485,716,3137
125,511,740,3299
130,533,768,3445
135,551,800,3594
140,576,825,3733
