sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,1,50,36
10,6,95,140
15,24,127,243
20,48,152,354
25,65,185,481
30,85,215,603
35,107,243,725
40,140,260,837
45,160,290,970
50,181,319,1116
55,211,339,1240
60,232,368,1374
65,258,392,1503
70,283,417,1633
75,303,447,1767
80,319,482,1919
85,345,506,2059
90,368,533,2196
95,388,563,2341
100,412,589,2487
105,437,614,2618
110,460,641,2755
115,488,663,2889
120,525,676,3027
125,546,705,3144
130,581,720,3280
135,611,740,3424
140,630,771,3565
