sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,51,36
10,10,91,130
15,23,128,247
20,40,160,353
25,52,198,482
30,80,220,607
35,98,252,744
40,119,281,873
45,139,311,1003
50,166,334,1113
55,184,366,1253
60,205,395,1385
65,225,425,1536
70,254,446,1670
75,279,471,1815
80,301,500,1954
85,325,526,2086
90,350,551,2226
95,373,578,2370
100,400,601,2515
105,428,623,2653
110,457,644,2788
115,478,673,2928
120,497,704,3075
125,533,718,3210
130,553,748,3352
135,580,771,3481
140,599,802,3609
