sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,1,50,33
10,14,87,116
15,28,123,222
20,48,152,345
25,73,177,462
30,95,205,574
35,113,237,693
40,131,269,833
45,153,297,958
50,169,331,1089
55,191,359,1235
60,210,390,1369
65,237,413,1506
70,261,439,1647
75,282,468,1777
80,307,494,1925
85,330,521,2059
90,344,557,2198
95,368,583,2339
100,396,605,2482
105,422,629,2602
110,450,651,2746
115,479,672,2884
120,507,694,3014
125,536,715,3146
130,553,748,3296
135,578,773,3430
140,607,794,3561
