sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,51,32
10,12,89,127
15,34,117,226
20,50,150,330
25,73,177,445
30,93,207,560
35,120,230,704
40,139,261,848
45,165,285,985
50,191,309,1123
55,218,332,1254
60,239,361,1392
65,257,393,1533
70,281,419,1671
75,303,447,1807
80,321,480,1959
85,347,504,2094
90,375,526,2227
95,397,554,2366
100,417,584,2511
105,444,607,2636
110,465,636,2774
115,487,664,2923
120,515,686,3073
125,535,716,3214
130,563,738,3353
135,589,762,3491
140,619,782,3624
