sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,51,35
10,8,93,132
15,24,127,235
20,46,154,361
25,63,187,478
30,83,217,616
35,103,247,742
40,122,278,861
45,141,309,989
50,171,329,1108
55,200,350,1241
60,224,376,1372
65,244,406,1509
70,264,436,1665
75,285,465,1803
80,315,486,1941
85,339,512,2081
90,364,537,2212
95,383,568,2369
100,409,592,2511
105,429,622,2646
110,449,652,2783
115,479,672,2922
120,509,692,3062
125,533,718,3207
130,554,747,3344
135,573,778,3494
140,593,808,3644
