sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,51,32
10,6,95,131
15,16,135,243
20,39,161,362
25,64,186,483
30,77,223,607
35,97,253,737
40,130,270,872
45,160,290,993
50,181,319,1127
55,203,347,1281
60,217,383,1425
65,249,401,1554
70,277,423,1685
75,297,453,1819
80,322,479,1960
85,349,502,2104
90,379,522,2224
95,411,540,2353
100,432,569,2491
105,452,599,2629
110,478,623,2775
115,503,648,2916
120,527,674,3056
125,546,705,3217
130,567,734,3357
135,597,754,3493
140,625,776,3631
