sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,51,44
10,6,95,136
15,18,133,247
20,34,166,382
25,52,198,514
30,71,229,645
35,93,257,780
40,114,286,914
45,128,322,1046
50,145,355,1192
55,166,384,1324
60,190,410,1469
65,215,435,1604
70,233,467,1745
75,255,495,1902
80,272,529,2055
85,289,562,2205
90,311,590,2364
95,334,617,2505
100,355,646,2638
105,380,671,2785
110,398,703,2934
115,416,735,3074
120,445,756,3202
125,463,788,3351
130,491,810,3487
135,513,838,3631
140,537,864,3773
