sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,1,50,35
10,14,87,111
15,27,124,229
20,50,150,345
25,68,182,466
30,95,205,589
35,121,229,709
40,146,254,810
45,167,283,930
50,184,316,1058
55,204,346,1208
60,230,370,1343
65,259,391,1474
70,284,416,1607
75,321,429,1723
80,352,449,1858
85,380,471,1969
90,415,486,2101
95,433,518,2232
100,458,543,2375
105,481,570,2518
110,512,589,2646
115,535,616,2761
120,559,642,2888
125,590,661,3025
130,612,689,3170
135,641,710,3296
140,661,740,3423
