sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,1,50,31
10,8,93,135
15,24,127,250
20,44,156,356
25,58,192,463
30,77,223,597
35,97,253,727
40,120,280,845
45,138,312,968
50,160,340,1091
55,182,368,1224
60,199,401,1360
65,229,421,1482
70,254,446,1628
75,278,472,1755
80,294,507,1906
85,321,530,2046
90,342,559,2179
95,363,588,2335
100,388,613,2478
105,412,639,2610
110,437,664,2746
115,465,686,2868
120,488,713,3010
125,507,744,3158
130,531,770,3306
135,555,796,3440
140,582,819,3586
