sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,51,35
10,5,96,120
15,26,125,242
20,44,156,355
25,70,180,473
30,85,215,592
35,103,247,718
40,127,273,853
45,154,296,982
50,179,321,1122
55,204,346,1259
60,231,369,1397
65,261,389,1522
70,279,421,1651
75,307,443,1788
80,328,473,1934
85,355,496,2070
90,380,521,2217
95,393,558,2361
100,414,587,2506
105,438,613,2632
110,464,637,2760
115,486,665,2895
120,510,691,3032
125,533,718,3184
130,556,745,3322
135,578,773,3470
140,612,789,3608
