sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,0,51,39
10,6,95,146
15,19,132,262
20,31,169,390
25,52,198,507
30,78,222,632
35,98,252,780
40,112,288,911
45,132,318,1049
50,154,346,1185
55,170,380,1339
60,191,409,1486
65,206,444,1626
70,231,469,1777
75,250,500,1919
80,271,530,2057
85,292,559,2193
90,313,588,2346
95,339,612,2497
100,362,639,2632
105,383,668,2781
110,403,698,2943
115,424,727,3087
120,450,751,3227
125,477,774,3370
130,497,804,3502
135,529,822,3640
140,549,852,3791
